	Assay	Cell Type	Molecule
0	DNASE	cerebellum male adult (27 years) and male adult (35 years)	
1	DNASE	frontal cortex male adult (27 years) and male adult (35 years)	
2	DNASE	chorion	
3	DNASE	Ishikawa treated with 0.02% dimethyl sulfoxide for 1 hour	
4	DNASE	GM03348	
5	DNASE	GM03348 genetically modified using transduction treated with 3 ug/mL doxycycline for 10 days	
6	DNASE	AG08395	
7	DNASE	AG08396	
8	DNASE	AG20443	
9	DNASE	frontal cortex female adult (67 years) and female adult (80 years)	
10	DNASE	H54	
11	DNASE	GM10248	
12	DNASE	GM12878	
13	DNASE	GM12891	
14	DNASE	GM12892	
15	DNASE	GM18507	
16	DNASE	GM19238	
17	DNASE	GM19239	
18	DNASE	GM19240	
19	DNASE	H1-hESC	
20	DNASE	H7-hESC	
21	DNASE	H9	
22	DNASE	heart male adult (27 years) and male adult (35 years)	
23	DNASE	HEK293T	
24	DNASE	HeLa-S3 treated with interferon alpha for 4 hours	
25	DNASE	HeLa-S3	
26	DNASE	hepatocyte	
27	DNASE	HepG2	
28	DNASE	HTR-8/SVneo	
29	DNASE	endothelial cell of umbilical vein newborn	
30	DNASE	CWRU1 male	
31	DNASE	iPS-NIHi11 male adult (71 year) originated from AG20443	
32	DNASE	iPS-NIHi7 female adult (85 years) originated from AG08395	
33	DNASE	K562 treated with 1 uM vorinostat for 72 hours	
34	DNASE	K562 G2 phase	
35	DNASE	K562 G1 phase	
36	DNASE	LNCaP clone FGC	
37	DNASE	LNCaP clone FGC treated with 1 nM 17B-hydroxy-17-methylestra-4,9,11-trien-3-one for 12 hours	
38	DNASE	MCF-7 originated from MCF-7	
39	DNASE	medulloblastoma	
40	DNASE	epidermal melanocyte	
41	DNASE	CD14-positive monocyte female	
42	DNASE	keratinocyte female	
43	DNASE	osteoblast	
44	DNASE	psoas muscle male adult (27 years) and male adult (35 years)	
45	DNASE	T47D treated with 10 nM 17B-estradiol for 30 minutes	
46	DNASE	urothelium cell line	
47	DNASE	A549	
48	DNASE	AG04449	
49	DNASE	AG04450	
50	DNASE	AG09309	
51	DNASE	AG09319	
52	DNASE	AG10803	
53	DNASE	fibroblast of the aortic adventitia female	
54	DNASE	BE2C	
55	DNASE	BJ	
56	DNASE	HS-27A	
57	DNASE	HS-5	
58	DNASE	stromal cell of bone marrow male	
59	DNASE	Caco-2	
60	DNASE	B cell female adult (43 years)	
61	DNASE	hematopoietic multipotent progenitor cell	
62	DNASE	naive thymus-derived CD4-positive, alpha-beta T cell male adult (26 years)	
63	DNASE	CMK	
64	DNASE	GM04503	
65	DNASE	GM04504	
66	DNASE	GM06990	
67	DNASE	GM12864	
68	DNASE	GM12865	
69	DNASE	GM12878	
70	DNASE	H1-hESC	
71	DNASE	cardiac mesoderm	
72	DNASE	cardiac mesoderm	
73	DNASE	cardiac mesoderm	
74	DNASE	cardiac mesoderm	
75	DNASE	H7-hESC	
76	DNASE	astrocyte of the hippocampus	
77	DNASE	astrocyte of the spinal cord	
78	DNASE	astrocyte of the cerebellum	
79	DNASE	amniotic epithelial cell	
80	DNASE	brain microvascular endothelial cell	
81	DNASE	brain pericyte	
82	DNASE	smooth muscle cell of the brain vasculature female	
83	DNASE	cardiac fibroblast	
84	DNASE	cardiac fibroblast female	
85	DNASE	cardiac muscle cell	
86	DNASE	fibroblast of the conjunctiva	
87	DNASE	choroid plexus epithelial cell	
88	DNASE	HCT116	
89	DNASE	epithelial cell of esophagus	
90	DNASE	HeLa-S3 G1b phase	
91	DNASE	HepG2	
92	DNASE	foreskin fibroblast male newborn	
93	DNASE	HFF-Myc originated from foreskin fibroblast	
