	Assay	Cell Type	Molecule
0	DNASE	B6D2F1/J 416B	
1	DNASE	BALB/cAnN A20	
2	DNASE	C57BL/6 B cell male adult (8 weeks)	
3	DNASE	C57BL/6 splenic B cell male adult (8 weeks)	
4	DNASE	C57BL/6 cerebellum male adult (8 weeks)	
5	DNASE	C57BL/6 telencephalon male adult (8 weeks)	
6	DNASE	CD-1 c-Kit-negative CD71-positive TER-119-positive erythroid progenitor cells male embryo (14.5 days)	
7	DNASE	CD-1 c-Kit-positive CD71-negative TER-119-negative erythroid progenitor cells male embryo (14.5 days)	
8	DNASE	CD-1 c-Kit-positive CD71-positive TER-119-negative erythroid progenitor cells male embryo (14.5 days)	
9	DNASE	CD-1 c-Kit-positive CD71-positive TER-119-positive erythroid progenitor cells male embryo (14.5 days)	
10	DNASE	129 ES-CJ7	
11	DNASE	129 ES-E14	
12	DNASE	mixed WW6	
13	DNASE	mixed WW6	
14	DNASE	C57BL/6 fibroblast of lung male adult (8 weeks)	
15	DNASE	CD-1 forelimb bud male embryo (11.5 days)	
16	DNASE	C57BL/6 gonadal fat pad male adult (8 weeks)	
17	DNASE	CD-1 embryo male embryo (11.5 days) depleted in head	
18	DNASE	C57BL/6 heart male adult (8 weeks)	
19	DNASE	CD-1 hindlimb bud male embryo (11.5 days)	
20	DNASE	C57BL/6 kidney male adult (8 weeks)	
21	DNASE	C57BL/6 large intestine male adult (8 weeks)	
22	DNASE	C57BL/6 liver male embryo (14.5 days)	
23	DNASE	129 liver male embryo (14.5 days)	
24	DNASE	129 liver male embryo (14.5 days)	
25	DNASE	C57BL/6 lung male adult (8 weeks)	
26	DNASE	DBA/2 MEL cell line	
27	DNASE	CD-1 mesoderm male embryo (11.5 days)	
28	DNASE	DBA/2 MEL-GATA-1-ER	
29	DNASE	DBA/2 erythroblast originated from MEL-GATA-1-ER treated with 1 uM estradiol for 24 hours	
30	DNASE	DBA/2 erythroblast originated from MEL-GATA-1-ER treated with 1 uM estradiol for 48 hours	
31	DNASE	NIH/Swiss NIH3T3	
32	DNASE	M.spretus x C57BL/6J Patski	
33	DNASE	C57BL/6 retina male postnatal (7 days)	
34	DNASE	C57BL/6 retina male postnatal (1 day)	
35	DNASE	C57BL/6 retina male adult (8 weeks)	
36	DNASE	C57BL/6 skeletal muscle tissue male adult (8 weeks)	
37	DNASE	C57BL/6 spleen male adult (8 weeks)	
38	DNASE	C57BL/6 CD4-positive helper T cell male adult (8 weeks)	
39	DNASE	C57BL/6 thymus male adult (8 weeks)	
40	DNASE	C57BL/6 induced T-regulatory cell male adult (8 weeks)	
41	DNASE	C57BL/6 brain male embryo (14.5 days)	
42	DNASE	C57BL/6 brain male adult (8 weeks)	
43	DNASE	C57BL/6 brain male embryo (18.5 days)	
44	DNASE	129 ZHBTc4-mESC	
45	DNASE	129 ZHBTc4-mESC treated with 100 ng/mL doxycycline hyclate for 24 hours	
46	DNASE	129 ZHBTc4-mESC treated with 100 ng/mL doxycycline hyclate for 6 hours	
47	DNASE	C57BL/6 heart postnatal (0 days)	
48	DNASE	C57BL/6 forebrain embryo (11.50 days)	
49	DNASE	C57BL/6 kidney postnatal (0 days)	
50	DNASE	C57BL/6 lung postnatal (0 days)	
51	DNASE	C57BL/6 embryo embryo (10.5 days)	
